domain,C1,C1_values,C1_cntbl,C1_sense,C1_detailed,C2,C2_values,C2_cntbl,C2_sense,C2_detailed,E,E_values,E_cntbl,E_sense,E_detailed,cntbl_cond,task,query_node,observation,query,graph,prompt,prompt_category,id
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,f,C1=1,"E=0, C2=1","p(C1=1|E=0, C2=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C, small B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,11
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,f,C2=1,"E=0, C1=1","p(C2=1|E=0, C1=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C, high A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,12
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,g,C1=1,E=0,p(C1=1|E=0),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,13
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,g,C2=1,E=0,p(C2=1|E=0),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,14
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,h,C1=1,"E=0, C2=0","p(C1=1|E=0, C2=0)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C, large B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,15
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,h,C2=1,"E=0, C1=0","p(C2=1|E=0, C1=0)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  short C, low A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,16
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,i,E=1,"C1=0, C2=0","p(E=1|C1=0, C2=0)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  low A, large B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is long C? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,17
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,j,E=1,"C1=0, C2=1","p(E=1|C1=0, C2=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  low A, small B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is long C? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,18
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,j,E=1,"C2=0, C1=1","p(E=1|C2=0, C1=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  large B, high A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is long C? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,19
abc,A,1,p,high,,B,1,p,small,,C,1,p,long,,ppp,k,E=1,"C1=1, C2=1","p(E=1|C1=1, C2=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes long C. Also, small B causes long C. Now suppose you observe the following:  high A, small B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is long C? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,20
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,a,C1=1,"E=1, C2=1","p(C1=1|E=1, C2=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C, large B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,61
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,a,C2=1,"E=1, C1=1","p(C2=1|E=1, C1=1)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C, high A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is large B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,62
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,b,C1=1,E=1,p(C1=1|E=1),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,63
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,b,C2=1,E=1,p(C2=1|E=1),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is large B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,64
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,c,C1=1,"E=1, C2=0","p(C1=1|E=1, C2=0)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C, small B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,65
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,c,C2=1,"E=1, C1=0","p(C2=1|E=1, C1=0)",collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  short C, low A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is large B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,66
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,d,C1=1,C2=1,p(C1=1|C2=1),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  large B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,67
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,d,C2=1,C1=1,p(C2=1|C1=1),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  high A. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is large B? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,68
abc,A,1,p,high,,B,1,m,large,,C,1,m,short,,pmm,e,C1=1,C2=0,p(C1=1|C2=0),collider,"In the following, you will be presented with causal inference tasks based on a causal mechanism consisting of 3 variables that works like this:high A causes short C. Also, large B causes short C. Now suppose you observe the following:  small B. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high A? 0 means definitely not likely and 100 means definitely likely. Return your response as raw text in one single line using this exact XML format: <response><likelihood>YOUR_NUMERIC_RESPONSE_HERE</likelihood><confidence>YOUR_CONFIDENCE_SCORE_HERE</confidence></response> DO NOT use Markdown, code blocks, or any additional formatting. Only replace YOUR_NUMERIC_RESPONSE_HERE with a number between 0 (unlikely) and 100 (very likely), and YOUR_CONFIDENCE_SCORE_HERE with a number between 0 (very uncertain) and 100 (very certain). DO NOT include any other information or text in your response and DO NOT use any special characters or symbols like quotation marks around your text output. Only return the XML inline as raw text.",numeric-certainty,69
