id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating,reasoning_type,RW17_label
137,mmp,economy,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
457,mmp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,63.0,,5.0,Predictive Inference,i
17,ppp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,25.0,,60.0,Predictive Inference,i
457,mmp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,39.0,,0.0,Predictive Inference,i
277,mpm,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,53.0,,0.0,Predictive Inference,i
77,pmm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,112.0,,10.0,Predictive Inference,i
77,pmm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,40.0,,25.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,10.0,,65.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,29.0,,25.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,38.0,,35.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,74.0,,50.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,88.0,,75.0,Predictive Inference,i
337,ppp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,121.0,,35.0,Predictive Inference,i
437,mpm,sociology,I,,claude-3-opus,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
397,pmm,sociology,I,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
457,mmp,sociology,I,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
337,ppp,sociology,I,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
77,pmm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,13.0,,50.0,Predictive Inference,i
397,pmm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,1.0,,30.0,Predictive Inference,i
397,pmm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,28.0,,50.0,Predictive Inference,i
397,pmm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,108.0,,20.0,Predictive Inference,i
397,pmm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,141.0,,70.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,132.0,,0.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,77.0,,15.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,72.0,,50.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,57.0,,40.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,33.0,,45.0,Predictive Inference,i
297,mmp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,3.0,,20.0,Predictive Inference,i
297,mmp,weather,I,,claude-3-opus,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
297,mmp,weather,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
437,mpm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,71.0,,0.0,Predictive Inference,i
437,mpm,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,99.0,,0.0,Predictive Inference,i
277,mpm,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,118.0,,30.0,Predictive Inference,i
277,mpm,weather,I,,claude-3-opus,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
397,pmm,sociology,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,25.0,Predictive Inference,i
77,pmm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,133.0,,15.0,Predictive Inference,i
137,mmp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,84.0,,35.0,Predictive Inference,i
117,mpm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,136.0,,10.0,Predictive Inference,i
437,mpm,sociology,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
177,ppp,weather,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
337,ppp,sociology,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
117,mpm,economy,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Predictive Inference,i
77,pmm,economy,I,,claude-3-opus,single_numeric_response,collider,,0.0,5.0,Predictive Inference,i
17,ppp,economy,I,,claude-3-opus,single_numeric_response,collider,,0.0,25.0,Predictive Inference,i
137,mmp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,21.0,,50.0,Predictive Inference,i
137,mmp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,46.0,,5.0,Predictive Inference,i
177,ppp,weather,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
297,mmp,weather,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
397,pmm,sociology,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
117,mpm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,100.0,,15.0,Predictive Inference,i
17,ppp,economy,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
437,mpm,sociology,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
337,ppp,sociology,I,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
17,ppp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,0.0,,55.0,Predictive Inference,i
117,mpm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,94.0,,35.0,Predictive Inference,i
117,mpm,economy,I,,claude-3-opus,single_numeric_response,collider,,0.0,5.0,Predictive Inference,i
437,mpm,sociology,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
117,mpm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,82.0,,20.0,Predictive Inference,i
457,mmp,sociology,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
457,mmp,sociology,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
277,mpm,weather,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
457,mmp,sociology,I,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
237,pmm,weather,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
237,pmm,weather,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Predictive Inference,i
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,82.0,,80.0,Predictive Inference,j
18,ppp,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,70.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,33.0,,85.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,33.0,,80.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,3.0,,65.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,94.0,,90.0,Predictive Inference,j
279,mpm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,118.0,,80.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,94.0,,60.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,100.0,,70.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,100.0,,60.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,136.0,,80.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,136.0,,85.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,57.0,,65.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,13.0,,75.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,82.0,,85.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,40.0,,60.0,Predictive Inference,j
279,mpm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,118.0,,70.0,Predictive Inference,j
279,mpm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,53.0,,100.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,3.0,,60.0,Predictive Inference,j
138,mmp,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,77.0,,65.0,Predictive Inference,j
118,mpm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,82.0,,85.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,119.0,,45.0,Predictive Inference,j
239,pmm,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
238,pmm,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,13.0,,70.0,Predictive Inference,j
398,pmm,sociology,II,,gpt-4o,single_numeric_response,collider,,0.0,70.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,132.0,,40.0,Predictive Inference,j
438,mpm,sociology,II,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
439,mpm,sociology,II,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,132.0,,75.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,77.0,,65.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,77.0,,55.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,72.0,,95.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,72.0,,100.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,57.0,,70.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,57.0,,65.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,33.0,,80.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,33.0,,85.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,3.0,,65.0,Predictive Inference,j
299,mmp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,3.0,,60.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,132.0,,40.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,132.0,,75.0,Predictive Inference,j
19,ppp,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,70.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,77.0,,55.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,72.0,,95.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,72.0,,100.0,Predictive Inference,j
458,mmp,sociology,II,,claude-3-opus,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
459,mmp,sociology,II,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
298,mmp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,57.0,,70.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,82.0,,80.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,112.0,,50.0,Predictive Inference,j
278,mpm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,118.0,,80.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,40.0,,70.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,22.0,,50.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,4.0,,30.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,4.0,,40.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,40.0,,60.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,109.0,,75.0,Predictive Inference,j
118,mpm,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
119,mpm,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,80.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,109.0,,95.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,97.0,,65.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,97.0,,60.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,45.0,,80.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,45.0,,75.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,22.0,,50.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,4.0,,30.0,Predictive Inference,j
138,mmp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,21.0,,70.0,Predictive Inference,j
178,ppp,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,4.0,,40.0,Predictive Inference,j
138,mmp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,21.0,,95.0,Predictive Inference,j
138,mmp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,46.0,,75.0,Predictive Inference,j
138,mmp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,84.0,,35.0,Predictive Inference,j
138,mmp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,84.0,,30.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,133.0,,50.0,Predictive Inference,j
139,mmp,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,21.0,,70.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,13.0,,70.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,13.0,,75.0,Predictive Inference,j
139,mmp,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,21.0,,95.0,Predictive Inference,j
139,mmp,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,46.0,,75.0,Predictive Inference,j
139,mmp,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,84.0,,30.0,Predictive Inference,j
139,mmp,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,84.0,,35.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,45.0,,80.0,Predictive Inference,j
278,mpm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,118.0,,70.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,97.0,,60.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,97.0,,65.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,94.0,,90.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,94.0,,60.0,Predictive Inference,j
278,mpm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,53.0,,100.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,40.0,,70.0,Predictive Inference,j
139,mmp,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
459,mmp,sociology,II,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,70.0,Predictive Inference,j
239,pmm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,138.0,,95.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,100.0,,70.0,Predictive Inference,j
239,pmm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,138.0,,100.0,Predictive Inference,j
239,pmm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,101.0,,50.0,Predictive Inference,j
239,pmm,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,56.0,,75.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,100.0,,60.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,136.0,,80.0,Predictive Inference,j
179,ppp,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,80.0,Predictive Inference,j
238,pmm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,138.0,,95.0,Predictive Inference,j
238,pmm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,138.0,,100.0,Predictive Inference,j
238,pmm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,101.0,,50.0,Predictive Inference,j
238,pmm,weather,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,56.0,,75.0,Predictive Inference,j
178,ppp,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
78,pmm,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
79,pmm,economy,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
119,mpm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,136.0,,85.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,112.0,,70.0,Predictive Inference,j
279,mpm,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
278,mpm,weather,II,,gpt-4o,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,112.0,,70.0,Predictive Inference,j
78,pmm,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,119.0,,45.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,109.0,,75.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,109.0,,95.0,Predictive Inference,j
79,pmm,economy,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,112.0,,50.0,Predictive Inference,j
179,ppp,weather,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,45.0,,75.0,Predictive Inference,j
339,ppp,sociology,II,"p(Z=1|Y=0, X=1)",humans,numeric-only,collider,88.0,,65.0,Predictive Inference,j
338,ppp,sociology,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,10.0,,75.0,Predictive Inference,j
18,ppp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,0.0,,80.0,Predictive Inference,j
278,mpm,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
279,mpm,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
139,mmp,economy,II,,claude-3-opus,single_numeric_response,collider,,0.0,90.0,Predictive Inference,j
138,mmp,economy,II,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
298,mmp,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
239,pmm,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
299,mmp,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
339,ppp,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
398,pmm,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
399,pmm,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
438,mpm,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Predictive Inference,j
439,mpm,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Predictive Inference,j
119,mpm,economy,II,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
338,ppp,sociology,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
238,pmm,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
18,ppp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,25.0,,100.0,Predictive Inference,j
179,ppp,weather,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
18,ppp,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
19,ppp,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
18,ppp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,69.0,,90.0,Predictive Inference,j
78,pmm,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
79,pmm,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
18,ppp,economy,II,"p(Z=1|X=0, Y=1)",humans,numeric-only,collider,58.0,,50.0,Predictive Inference,j
118,mpm,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
119,mpm,economy,II,,gemini-1.5-pro,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
179,ppp,weather,II,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Predictive Inference,j
178,ppp,weather,II,,claude-3-opus,single_numeric_response,collider,,0.0,80.0,Predictive Inference,j
