id,cntbl_cond,domain,task,subject,prompt_category,graph,temperature,response,reasoning_type,label,X,X_values,X_cntbl,X_sense,Y,Y_values,Y_cntbl,Y_sense,Z,Z_values,Z_cntbl,Z_sense,query_node,observation
77,pmm,economy,I,humans,single_numeric_response,collider,,40.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
117,mpm,economy,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
117,mpm,economy,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
177,ppp,weather,I,claude-3-opus,single_numeric_response,collider,0.0,5.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
177,ppp,weather,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
237,pmm,weather,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
177,ppp,weather,I,humans,single_numeric_response,collider,,65.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
177,ppp,weather,I,humans,single_numeric_response,collider,,30.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
277,mpm,weather,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
177,ppp,weather,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
177,ppp,weather,I,humans,single_numeric_response,collider,,20.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
17,ppp,economy,I,humans,single_numeric_response,collider,,5.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
177,ppp,weather,I,humans,single_numeric_response,collider,,5.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,claude-3-opus,single_numeric_response,collider,0.0,10.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
17,ppp,economy,I,humans,single_numeric_response,collider,,40.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,gemini-1.5-pro,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
457,mmp,sociology,I,humans,single_numeric_response,collider,,5.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
17,ppp,economy,I,humans,single_numeric_response,collider,,60.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
457,mmp,sociology,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
277,mpm,weather,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,humans,single_numeric_response,collider,,10.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,humans,single_numeric_response,collider,,25.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,65.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,25.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,35.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,75.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,humans,single_numeric_response,collider,,35.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
437,mpm,sociology,I,claude-3-opus,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,claude-3-opus,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
457,mmp,sociology,I,claude-3-opus,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,claude-3-opus,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
77,pmm,economy,I,humans,single_numeric_response,collider,,50.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,humans,single_numeric_response,collider,,30.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,humans,single_numeric_response,collider,,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,humans,single_numeric_response,collider,,20.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,humans,single_numeric_response,collider,,70.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,15.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,50.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,40.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,45.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,humans,single_numeric_response,collider,,20.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,claude-3-opus,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
17,ppp,economy,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
297,mmp,weather,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
437,mpm,sociology,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
437,mpm,sociology,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
277,mpm,weather,I,humans,single_numeric_response,collider,,30.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
277,mpm,weather,I,claude-3-opus,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
397,pmm,sociology,I,gemini-1.5-pro,single_numeric_response,collider,0.0,25.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,humans,single_numeric_response,collider,,15.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
137,mmp,economy,I,humans,single_numeric_response,collider,,35.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
117,mpm,economy,I,humans,single_numeric_response,collider,,10.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
437,mpm,sociology,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
177,ppp,weather,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
337,ppp,sociology,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
117,mpm,economy,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,100.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,claude-3-opus,single_numeric_response,collider,0.0,5.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
17,ppp,economy,I,claude-3-opus,single_numeric_response,collider,0.0,25.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,humans,single_numeric_response,collider,,50.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,humans,single_numeric_response,collider,,5.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
177,ppp,weather,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,p,low,humidity,1,p,high,Z=1,"X=0, Y=0"
77,pmm,economy,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
297,mmp,weather,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=0"
397,pmm,sociology,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
117,mpm,economy,I,humans,single_numeric_response,collider,,15.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
17,ppp,economy,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
137,mmp,economy,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=0"
437,mpm,sociology,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
337,ppp,sociology,I,gpt-4o,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,p,low,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
17,ppp,economy,I,humans,single_numeric_response,collider,,55.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
117,mpm,economy,I,humans,single_numeric_response,collider,,35.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
117,mpm,economy,I,claude-3-opus,single_numeric_response,collider,0.0,5.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
437,mpm,sociology,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
117,mpm,economy,I,humans,single_numeric_response,collider,,20.0,Predictive Inference,i,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=0"
457,mmp,sociology,I,gemini-1.5-pro,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
457,mmp,sociology,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
277,mpm,weather,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
457,mmp,sociology,I,gpt-4o,single_numeric_response,collider,0.0,50.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
237,pmm,weather,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
237,pmm,weather,I,gpt-3.5-turbo,single_numeric_response,collider,0.0,100.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
118,mpm,economy,II,humans,single_numeric_response,collider,,80.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
18,ppp,economy,II,gpt-4o,single_numeric_response,collider,0.0,70.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,85.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,80.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,90.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
279,mpm,weather,II,humans,single_numeric_response,collider,,80.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"Y=0, X=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,60.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,70.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,60.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,80.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,85.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
78,pmm,economy,II,humans,single_numeric_response,collider,,75.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=1"
119,mpm,economy,II,humans,single_numeric_response,collider,,85.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"Y=0, X=1"
78,pmm,economy,II,humans,single_numeric_response,collider,,60.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=1"
279,mpm,weather,II,humans,single_numeric_response,collider,,70.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"Y=0, X=1"
279,mpm,weather,II,humans,single_numeric_response,collider,,100.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"Y=0, X=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,60.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
138,mmp,economy,II,gpt-4o,single_numeric_response,collider,0.0,75.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,m,large,retirement savings,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
118,mpm,economy,II,humans,single_numeric_response,collider,,85.0,Predictive Inference,j,interest rates,1,m,high,trade deficits,1,p,small,retirement savings,1,m,low,Z=1,"X=0, Y=1"
79,pmm,economy,II,humans,single_numeric_response,collider,,45.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"Y=0, X=1"
239,pmm,weather,II,gpt-4o,single_numeric_response,collider,0.0,75.0,Predictive Inference,j,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"Y=0, X=1"
238,pmm,weather,II,gpt-4o,single_numeric_response,collider,0.0,75.0,Predictive Inference,j,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=1"
78,pmm,economy,II,humans,single_numeric_response,collider,,70.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=1"
398,pmm,sociology,II,gpt-4o,single_numeric_response,collider,0.0,70.0,Predictive Inference,j,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,40.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
438,mpm,sociology,II,claude-3-opus,single_numeric_response,collider,0.0,50.0,Predictive Inference,j,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"X=0, Y=1"
439,mpm,sociology,II,claude-3-opus,single_numeric_response,collider,0.0,100.0,Predictive Inference,j,urbanization,1,m,low,interest in religion,1,p,low,socio-economic mobility,1,m,low,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,75.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,55.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,95.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,100.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,70.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,80.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,85.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,65.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
299,mmp,weather,II,humans,single_numeric_response,collider,,60.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"Y=0, X=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,40.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,75.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
19,ppp,economy,II,gpt-4o,single_numeric_response,collider,0.0,70.0,Predictive Inference,j,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"Y=0, X=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,55.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,95.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
298,mmp,weather,II,humans,single_numeric_response,collider,,100.0,Predictive Inference,j,ozone levels,1,m,low,air pressure,1,m,high,humidity,1,p,high,Z=1,"X=0, Y=1"
458,mmp,sociology,II,claude-3-opus,single_numeric_response,collider,0.0,75.0,Predictive Inference,j,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=1"
459,mmp,sociology,II,claude-3-opus,single_numeric_response,collider,0.0,100.0,Predictive Inference,j,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"Y=0, X=1"
