id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating
69,pmm,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
70,pmm,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
71,pmm,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
72,pmm,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
73,pmm,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
74,pmm,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
75,pmm,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
76,pmm,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
77,pmm,economy,i,,claude-3-opus,single_numeric_response,collider,,0.0,5.0
78,pmm,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
79,pmm,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
80,pmm,economy,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
101,mpm,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
102,mpm,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
103,mpm,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
104,mpm,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
105,mpm,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
106,mpm,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
107,mpm,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
108,mpm,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
109,mpm,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
110,mpm,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
111,mpm,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
112,mpm,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
113,mpm,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
114,mpm,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
115,mpm,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
116,mpm,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
117,mpm,economy,i,,claude-3-opus,single_numeric_response,collider,,0.0,5.0
118,mpm,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
119,mpm,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
120,mpm,economy,k,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
121,mmp,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
122,mmp,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
123,mmp,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
124,mmp,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
125,mmp,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
126,mmp,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
127,mmp,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
128,mmp,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
129,mmp,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
130,mmp,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
131,mmp,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
132,mmp,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
133,mmp,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
134,mmp,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
135,mmp,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
136,mmp,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
137,mmp,economy,i,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
138,mmp,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
139,mmp,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
140,mmp,economy,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
161,ppp,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
162,ppp,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
163,ppp,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
164,ppp,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
165,ppp,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
166,ppp,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
167,ppp,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
168,ppp,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
169,ppp,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
170,ppp,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
171,ppp,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
172,ppp,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
173,ppp,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
174,ppp,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
175,ppp,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
176,ppp,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
177,ppp,weather,i,,claude-3-opus,single_numeric_response,collider,,0.0,5.0
178,ppp,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,80.0
179,ppp,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
180,ppp,weather,k,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
221,pmm,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
222,pmm,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
223,pmm,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
224,pmm,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
225,pmm,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
226,pmm,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
227,pmm,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
228,pmm,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
229,pmm,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
230,pmm,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
231,pmm,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
232,pmm,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
233,pmm,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
234,pmm,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
235,pmm,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
236,pmm,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
237,pmm,weather,i,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
238,pmm,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
239,pmm,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
240,pmm,weather,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
261,mpm,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
262,mpm,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
263,mpm,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
264,mpm,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
265,mpm,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
266,mpm,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
267,mpm,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
268,mpm,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
269,mpm,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
270,mpm,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
271,mpm,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
272,mpm,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
273,mpm,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
274,mpm,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
275,mpm,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
276,mpm,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
277,mpm,weather,i,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
278,mpm,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
279,mpm,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
280,mpm,weather,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
281,mmp,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
282,mmp,weather,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
283,mmp,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
284,mmp,weather,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
285,mmp,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
286,mmp,weather,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
287,mmp,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
288,mmp,weather,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
289,mmp,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
290,mmp,weather,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
291,mmp,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
292,mmp,weather,f,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
293,mmp,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
294,mmp,weather,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
295,mmp,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
296,mmp,weather,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
297,mmp,weather,i,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
298,mmp,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
299,mmp,weather,j,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
300,mmp,weather,k,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
321,ppp,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
322,ppp,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
323,ppp,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
324,ppp,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
325,ppp,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
326,ppp,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
327,ppp,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
328,ppp,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
329,ppp,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
330,ppp,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
331,ppp,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
332,ppp,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
333,ppp,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
334,ppp,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
335,ppp,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
336,ppp,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
337,ppp,sociology,i,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
338,ppp,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
339,ppp,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
340,ppp,sociology,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
381,pmm,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
382,pmm,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
383,pmm,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
384,pmm,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
385,pmm,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
386,pmm,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,80.0
387,pmm,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
388,pmm,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
389,pmm,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
390,pmm,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
391,pmm,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
392,pmm,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,30.0
393,pmm,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,30.0
394,pmm,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
395,pmm,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
396,pmm,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
397,pmm,sociology,i,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
398,pmm,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
399,pmm,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
400,pmm,sociology,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
421,mpm,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
422,mpm,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
423,mpm,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
424,mpm,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,67.0
425,mpm,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
426,mpm,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
427,mpm,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
428,mpm,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
429,mpm,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
430,mpm,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
431,mpm,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
432,mpm,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
433,mpm,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
434,mpm,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,10.0
435,mpm,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
436,mpm,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
437,mpm,sociology,i,,claude-3-opus,single_numeric_response,collider,,0.0,0.0
438,mpm,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
439,mpm,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
440,mpm,sociology,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
441,mmp,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
442,mmp,sociology,a,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
443,mmp,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
444,mmp,sociology,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
445,mmp,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
446,mmp,sociology,c,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
447,mmp,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
448,mmp,sociology,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
449,mmp,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
450,mmp,sociology,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
451,mmp,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
452,mmp,sociology,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
453,mmp,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
454,mmp,sociology,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
455,mmp,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
456,mmp,sociology,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
457,mmp,sociology,i,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
458,mmp,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
459,mmp,sociology,j,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
460,mmp,sociology,k,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
1,ppp,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
2,ppp,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
3,ppp,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
4,ppp,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
5,ppp,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,50.0
6,ppp,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,50.0
7,ppp,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
8,ppp,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
9,ppp,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
10,ppp,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
11,ppp,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,50.0
12,ppp,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,50.0
13,ppp,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
14,ppp,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
15,ppp,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
16,ppp,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
17,ppp,economy,i,,gpt-4o,single_numeric_response,collider,,0.0,0.0
18,ppp,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,70.0
19,ppp,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,70.0
20,ppp,economy,k,,gpt-4o,single_numeric_response,collider,,0.0,100.0
61,pmm,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
62,pmm,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
63,pmm,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
64,pmm,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
65,pmm,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
66,pmm,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,50.0
67,pmm,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
68,pmm,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
69,pmm,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
70,pmm,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
71,pmm,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
72,pmm,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
73,pmm,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
74,pmm,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
75,pmm,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
76,pmm,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
77,pmm,economy,i,,gpt-4o,single_numeric_response,collider,,0.0,0.0
78,pmm,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,50.0
79,pmm,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,75.0
80,pmm,economy,k,,gpt-4o,single_numeric_response,collider,,0.0,100.0
101,mpm,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
102,mpm,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
103,mpm,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,75.0
104,mpm,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
105,mpm,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,75.0
106,mpm,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,50.0
107,mpm,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
108,mpm,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
109,mpm,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
110,mpm,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
111,mpm,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
112,mpm,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
113,mpm,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
114,mpm,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
115,mpm,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
116,mpm,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
117,mpm,economy,i,,gpt-4o,single_numeric_response,collider,,0.0,0.0
118,mpm,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,50.0
119,mpm,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,80.0
120,mpm,economy,k,,gpt-4o,single_numeric_response,collider,,0.0,100.0
121,mmp,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
122,mmp,economy,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
123,mmp,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
124,mmp,economy,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
125,mmp,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
126,mmp,economy,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
127,mmp,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
128,mmp,economy,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
129,mmp,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
130,mmp,economy,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
131,mmp,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
132,mmp,economy,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
133,mmp,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
134,mmp,economy,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
135,mmp,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
136,mmp,economy,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
137,mmp,economy,i,,gpt-4o,single_numeric_response,collider,,0.0,0.0
138,mmp,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,75.0
139,mmp,economy,j,,gpt-4o,single_numeric_response,collider,,0.0,75.0
140,mmp,economy,k,,gpt-4o,single_numeric_response,collider,,0.0,100.0
161,ppp,weather,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
162,ppp,weather,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
163,ppp,weather,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
164,ppp,weather,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
165,ppp,weather,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
166,ppp,weather,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
167,ppp,weather,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
168,ppp,weather,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
169,ppp,weather,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
170,ppp,weather,e,,gpt-4o,single_numeric_response,collider,,0.0,50.0
171,ppp,weather,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
172,ppp,weather,f,,gpt-4o,single_numeric_response,collider,,0.0,0.0
173,ppp,weather,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
174,ppp,weather,g,,gpt-4o,single_numeric_response,collider,,0.0,0.0
175,ppp,weather,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
176,ppp,weather,h,,gpt-4o,single_numeric_response,collider,,0.0,0.0
177,ppp,weather,i,,gpt-4o,single_numeric_response,collider,,0.0,0.0
178,ppp,weather,j,,gpt-4o,single_numeric_response,collider,,0.0,75.0
179,ppp,weather,j,,gpt-4o,single_numeric_response,collider,,0.0,80.0
180,ppp,weather,k,,gpt-4o,single_numeric_response,collider,,0.0,100.0
221,pmm,weather,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
222,pmm,weather,a,,gpt-4o,single_numeric_response,collider,,0.0,50.0
223,pmm,weather,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
224,pmm,weather,b,,gpt-4o,single_numeric_response,collider,,0.0,50.0
225,pmm,weather,c,,gpt-4o,single_numeric_response,collider,,0.0,100.0
226,pmm,weather,c,,gpt-4o,single_numeric_response,collider,,0.0,50.0
227,pmm,weather,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
228,pmm,weather,d,,gpt-4o,single_numeric_response,collider,,0.0,50.0
