id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,LLM-confidence,likelihood-rating,reasoning_type,RW17_label
457,mmp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
337,ppp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,20.0,Predictive Inference,i
17,ppp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,65.0,25.0,Predictive Inference,i
117,mpm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
117,mpm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
137,mmp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
137,mmp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,40.0,30.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,55.0,25.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,65.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
337,ppp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
117,mpm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,40.0,Predictive Inference,i
397,pmm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
437,mpm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
77,pmm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
457,mmp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
77,pmm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
117,mpm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
137,mmp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,75.0,25.0,Predictive Inference,i
17,ppp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,40.0,30.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,65.0,25.0,Predictive Inference,i
337,ppp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
457,mmp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
17,ppp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,80.0,25.0,Predictive Inference,i
17,ppp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,80.0,25.0,Predictive Inference,i
177,ppp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
457,mmp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
137,mmp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,60.0,30.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
337,ppp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,20.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
337,ppp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
437,mpm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
297,mmp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,40.0,50.0,Predictive Inference,i
457,mmp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
17,ppp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,85.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
117,mpm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
137,mmp,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
277,mpm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,75.0,25.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,50.0,25.0,Predictive Inference,i
237,pmm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
437,mpm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
77,pmm,economy,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
137,mmp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
17,ppp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
437,mpm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
457,mmp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
457,mmp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
17,ppp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
117,mpm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
437,mpm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
237,pmm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
397,pmm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
397,pmm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
437,mpm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
457,mmp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
17,ppp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,0.0,,,55.0,Predictive Inference,i
17,ppp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,25.0,,,60.0,Predictive Inference,i
337,ppp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,20.0,Predictive Inference,i
177,ppp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
177,ppp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
437,mpm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
237,pmm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
457,mmp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
17,ppp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
117,mpm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
177,ppp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
177,ppp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
137,mmp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
397,pmm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
437,mpm,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,90.0,10.0,Predictive Inference,i
117,mpm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
457,mmp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
17,ppp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
117,mpm,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gpt-4o,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
17,ppp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,58.0,,,40.0,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
17,ppp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,69.0,,,5.0,Predictive Inference,i
77,pmm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,40.0,,,25.0,Predictive Inference,i
297,mmp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,63.0,,,5.0,Predictive Inference,i
297,mmp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,107.0,,,40.0,Predictive Inference,i
297,mmp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,137.0,,,35.0,Predictive Inference,i
77,pmm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
337,ppp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,4.0,,,5.0,Predictive Inference,i
337,ppp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,22.0,,,20.0,Predictive Inference,i
337,ppp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,45.0,,,0.0,Predictive Inference,i
337,ppp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,97.0,,,30.0,Predictive Inference,i
337,ppp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,109.0,,,65.0,Predictive Inference,i
17,ppp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
397,pmm,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,56.0,,,30.0,Predictive Inference,i
297,mmp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,39.0,,,0.0,Predictive Inference,i
397,pmm,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,101.0,,,10.0,Predictive Inference,i
457,mmp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
437,mpm,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,53.0,,,0.0,Predictive Inference,i
437,mpm,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,118.0,,,30.0,Predictive Inference,i
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,3.0,,,20.0,Predictive Inference,i
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,33.0,,,45.0,Predictive Inference,i
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,57.0,,,40.0,Predictive Inference,i
437,mpm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,77.0,,,15.0,Predictive Inference,i
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,132.0,,,0.0,Predictive Inference,i
397,pmm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
17,ppp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
397,pmm,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,138.0,,,0.0,Predictive Inference,i
277,mpm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,99.0,,,0.0,Predictive Inference,i
277,mpm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,71.0,,,0.0,Predictive Inference,i
117,mpm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,40.0,Predictive Inference,i
77,pmm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,112.0,,,10.0,Predictive Inference,i
297,mmp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,40.0,50.0,Predictive Inference,i
77,pmm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,119.0,,,40.0,Predictive Inference,i
77,pmm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,133.0,,,15.0,Predictive Inference,i
277,mpm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
117,mpm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,82.0,,,20.0,Predictive Inference,i
117,mpm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,94.0,,,35.0,Predictive Inference,i
117,mpm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,100.0,,,15.0,Predictive Inference,i
117,mpm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,136.0,,,10.0,Predictive Inference,i
137,mmp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,21.0,,,50.0,Predictive Inference,i
237,pmm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
137,mmp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,46.0,,,5.0,Predictive Inference,i
137,mmp,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,84.0,,,35.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,10.0,,,65.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,29.0,,,25.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,38.0,,,35.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,74.0,,,50.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,88.0,,,75.0,Predictive Inference,i
177,ppp,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,121.0,,,35.0,Predictive Inference,i
177,ppp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
137,mmp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
237,pmm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,1.0,,,30.0,Predictive Inference,i
237,pmm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,28.0,,,50.0,Predictive Inference,i
237,pmm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,108.0,,,20.0,Predictive Inference,i
237,pmm,sociology,I,"p(E=1|C1=0, C2=0)",humans,,collider,141.0,,,70.0,Predictive Inference,i
77,pmm,economy,I,"p(E=1|C1=0, C2=0)",humans,,collider,13.0,,,50.0,Predictive Inference,i
437,mpm,weather,I,,gemini-2.0-pro,numeric-certainty,collider,,0.0,95.0,0.0,Predictive Inference,i
277,mpm,sociology,I,,gpt-4o,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
277,mpm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
277,mpm,sociology,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
177,ppp,sociology,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,50.0,0.0,Predictive Inference,i
117,mpm,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
297,mmp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,40.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
17,ppp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
457,mmp,weather,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,20.0,Predictive Inference,i
397,pmm,weather,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,50.0,0.0,Predictive Inference,i
297,mmp,sociology,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,70.0,50.0,Predictive Inference,i
